Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Netherlands,2021,76.8,88.9,90.6,72.8,51.7,47.7,95.3,80.5,60.1,80.4,84.0,90.0,80.0
New Zealand,2021,83.9,91.3,95.3,80.5,70.6,58.1,98.2,89.9,86.3,86.9,90.2,80.0,80.0
Nicaragua,2021,56.3,27.8,24.8,19.0,77.1,77.5,91.8,53.1,55.0,70.7,68.4,60.0,50.0
Niger,2021,57.3,38.8,31.8,45.7,77.1,87.1,76.2,52.5,47.4,75.3,61.0,55.0,40.0
Nigeria,2021,58.7,36.8,23.5,38.7,84.9,95.3,59.9,60.0,84.4,68.0,68.4,45.0,40.0
North Korea,2021,5.2,27.7,20.2,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
North Macedonia,2021,68.6,62.6,41.9,40.4,94.9,71.0,87.8,77.8,65.2,78.7,77.4,65.0,60.0
Norway,2021,73.4,82.4,95.8,86.3,57.1,25.3,96.6,85.5,57.8,75.4,84.0,75.0,60.0
Oman,2021,64.6,68.7,66.0,66.3,97.7,39.2,12.2,79.2,61.0,85.8,73.6,65.0,60.0
Pakistan,2021,51.7,44.9,31.2,40.7,73.8,86.0,7.4,60.5,41.2,69.7,64.6,60.0,40.0
Panama,2021,66.2,54.5,39.4,28.1,85.2,85.2,82.8,72.9,43.7,80.5,77.2,75.0,70.0
Papua New Guinea,2021,58.9,46.1,32.7,50.8,71.5,88.0,82.0,57.4,70.2,72.1,80.4,25.0,30.0
Paraguay,2021,62.6,41.6,32.2,26.0,96.2,86.7,91.6,59.6,31.8,73.8,76.4,75.0,60.0
Peru,2021,67.7,53.3,36.3,28.2,79.4,86.4,91.5,66.2,63.2,86.1,86.4,75.0,60.0
Philippines,2021,64.1,57.0,40.6,34.5,76.8,87.4,94.3,58.2,57.7,68.7,74.2,60.0,60.0
Poland,2021,69.7,63.3,65.0,48.9,73.9,48.1,94.6,61.6,66.1,80.8,84.0,80.0,70.0
Portugal,2021,67.5,74.1,68.2,68.5,60.0,42.4,78.2,75.9,44.1,85.0,84.0,70.0,60.0
Qatar,2021,72.0,68.3,54.0,58.0,97.9,69.2,94.5,74.0,65.9,80.7,81.4,60.0,60.0
Republic of Congo,2021,50.7,32.2,23.5,25.7,80.4,84.0,81.8,36.6,36.6,86.5,56.4,35.0,30.0
